study	name	group	measurement_type	count	substance	choice	value	unit	comments
Chen2017b	IS001	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS002	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS003	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS004	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS005	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS006	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS007	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS008	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS009	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS010	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS011	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS012	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS013	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS014	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS015	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS016	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS017	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS018	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS019	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS020	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS021	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS022	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS023	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS024	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS025	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS026	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS027	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS028	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS029	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS030	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS031	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS032	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS033	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS034	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS035	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS036	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS037	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS038	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS039	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS040	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS041	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS042	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS043	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS044	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS045	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS046	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS047	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS048	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS049	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS050	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS051	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS052	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS053	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS054	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS055	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS056	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS057	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS058	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS059	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS060	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS061	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS062	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS063	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS064	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS065	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS066	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS067	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS068	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS069	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS070	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS071	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS072	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS073	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS074	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS075	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS076	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS077	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS078	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS079	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS080	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS081	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS082	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS083	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS084	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS085	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS086	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS087	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS088	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS089	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS090	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS091	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS092	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS093	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS094	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS095	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS096	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS097	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS098	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS099	all	species	1	NA	homo sapiens	NA	NA	NA
Chen2017b	IS100	all	species	1	NA	homo sapiens	NA	NA	NA
